Date,Close,AdjClose,Volume,Currency
2022-11-25,16521.841796875,16521.841796875,18678255976,USD
2022-11-26,16464.28125,16464.28125,18000008764,USD
2022-11-27,16444.626953125,16444.626953125,20443898509,USD
2022-11-28,16217.322265625,16217.322265625,27743025156,USD
2022-11-29,16444.982421875,16444.982421875,23581685468,USD
2022-11-30,17168.56640625,17168.56640625,29523576583,USD
2022-12-01,16967.1328125,16967.1328125,22895392882,USD
2022-12-02,17088.66015625,17088.66015625,19539705127,USD
2022-12-03,16908.236328125,16908.236328125,16217776704,USD
2022-12-04,17130.486328125,17130.486328125,16824520830,USD
2022-12-05,16974.826171875,16974.826171875,22209086834,USD
2022-12-06,17089.50390625,17089.50390625,19889922369,USD
2022-12-07,16848.126953125,16848.126953125,19675404389,USD
2022-12-08,17233.474609375,17233.474609375,20496603770,USD
2022-12-09,17133.15234375,17133.15234375,20328426366,USD
2022-12-10,17128.724609375,17128.724609375,12706781969,USD
2022-12-11,17104.193359375,17104.193359375,14122486832,USD
2022-12-12,17206.4375,17206.4375,19617581341,USD
2022-12-13,17781.318359375,17781.318359375,26634741631,USD
2022-12-14,17815.650390625,17815.650390625,25534481470,USD
2022-12-15,17364.865234375,17364.865234375,20964448341,USD
2022-12-16,16647.484375,16647.484375,24031608960,USD
2022-12-17,16795.091796875,16795.091796875,14463581825,USD
2022-12-18,16757.9765625,16757.9765625,10924354698,USD
2022-12-19,16439.6796875,16439.6796875,17221074814,USD
2022-12-20,16906.3046875,16906.3046875,22722096615,USD
2022-12-21,16817.53515625,16817.53515625,14882945045,USD
2022-12-22,16830.341796875,16830.341796875,16441573050,USD
2022-12-23,16796.953125,16796.953125,15329265213,USD
2022-12-24,16847.755859375,16847.755859375,9744636213,USD
2022-12-25,16841.986328125,16841.986328125,11656379938,USD
2022-12-26,16919.8046875,16919.8046875,11886957804,USD
2022-12-27,16717.173828125,16717.173828125,15748580239,USD
2022-12-28,16552.572265625,16552.572265625,17005713920,USD
2022-12-29,16642.341796875,16642.341796875,14472237479,USD
2022-12-30,16602.5859375,16602.5859375,15929162910,USD
2022-12-31,16547.49609375,16547.49609375,11239186456,USD
2023-01-01,16625.080078125,16625.080078125,9244361700,USD
2023-01-02,16688.470703125,16688.470703125,12097775227,USD
2023-01-03,16679.857421875,16679.857421875,13903079207,USD
2023-01-04,16863.23828125,16863.23828125,18421743322,USD
2023-01-05,16836.736328125,16836.736328125,13692758566,USD
2023-01-06,16951.96875,16951.96875,14413662913,USD
2023-01-07,16955.078125,16955.078125,7714767174,USD
2023-01-08,17091.14453125,17091.14453125,9768827914,USD
2023-01-09,17196.5546875,17196.5546875,18624736866,USD
2023-01-10,17446.29296875,17446.29296875,15808338949,USD
2023-01-11,17934.896484375,17934.896484375,18372283782,USD
2023-01-12,18869.587890625,18869.587890625,34971338710,USD
2023-01-13,19909.57421875,19909.57421875,29225029694,USD
2023-01-14,20976.298828125,20976.298828125,38967784639,USD
2023-01-15,20880.798828125,20880.798828125,19298407543,USD
2023-01-16,21169.6328125,21169.6328125,26792494050,USD
2023-01-17,21161.51953125,21161.51953125,24999983362,USD
2023-01-18,20688.78125,20688.78125,30005625418,USD
