Date,Close,AdjClose,Volume,Currency
2017-02-23,1653.0,1653.0,201128,GBp
2017-02-24,1654.0,1654.0,156300,GBp
2017-02-27,1653.0,1653.0,136298,GBp
2017-02-28,1671.0,1671.0,193750,GBp
2017-03-01,1673.0,1673.0,168026,GBp
2017-03-02,1677.0,1677.0,164132,GBp
2017-03-03,1664.0,1664.0,141170,GBp
2017-03-06,1665.0,1665.0,360708,GBp
2017-03-07,1665.0,1665.0,202335,GBp
2017-03-08,1680.0,1680.0,132446,GBp
2017-03-09,1707.0,1707.0,180145,GBp
2017-03-10,1700.0,1700.0,181991,GBp
2017-03-13,1710.0,1710.0,245241,GBp
2017-03-14,1669.0,1669.0,195226,GBp
2017-03-15,1677.0,1677.0,122574,GBp
2017-03-16,1696.0,1696.0,153538,GBp
2017-03-17,1703.0,1703.0,175416,GBp
2017-03-20,1692.0,1692.0,83929,GBp
2017-03-21,1670.0,1670.0,77397,GBp
2017-03-22,1615.0,1615.0,340709,GBp
2017-03-23,1662.0,1662.0,157991,GBp
2017-03-24,1645.0,1645.0,92184,GBp
2017-03-27,1630.0,1630.0,57751,GBp
2017-03-28,1625.0,1625.0,60074,GBp
2017-03-29,1622.0,1622.0,94854,GBp
2017-03-30,1630.0,1630.0,141793,GBp
2017-03-31,1641.0,1641.0,206274,GBp
2017-04-03,1645.0,1645.0,144296,GBp
2017-04-04,1666.0,1666.0,220809,GBp
2017-04-05,1684.0,1684.0,201090,GBp
2017-04-06,1693.0,1693.0,238335,GBp
2017-04-07,1685.0,1685.0,229221,GBp
2017-04-10,1705.0,1705.0,151330,GBp
2017-04-11,1721.0,1721.0,368140,GBp
2017-04-12,1709.0,1709.0,113245,GBp
2017-04-13,1698.0,1698.0,124665,GBp
2017-04-18,1692.0,1692.0,157517,GBp
2017-04-19,1747.0,1747.0,187004,GBp
2017-04-20,1741.0,1741.0,100344,GBp
2017-04-21,1746.0,1746.0,65048,GBp
2017-04-24,1798.0,1798.0,330529,GBp
2017-04-25,1778.0,1778.0,166428,GBp
2017-04-26,1774.0,1774.0,99721,GBp
2017-04-27,1749.0,1749.0,164652,GBp
2017-04-28,1765.0,1765.0,115673,GBp
2017-05-02,1773.0,1773.0,126631,GBp
2017-05-03,1770.0,1770.0,156001,GBp
2017-05-04,1775.0,1775.0,173351,GBp
2017-05-05,1800.0,1800.0,328721,GBp
2017-05-08,1841.0,1841.0,196152,GBp
2017-05-09,1833.0,1833.0,203755,GBp
2017-05-10,1854.0,1854.0,346956,GBp
2017-05-11,1857.0,1857.0,247303,GBp
2017-05-12,1890.0,1890.0,503976,GBp
2017-05-15,1943.0,1943.0,237053,GBp
2017-05-16,1892.0,1892.0,345939,GBp
2017-05-17,1881.0,1881.0,130135,GBp
2017-05-18,1891.0,1891.0,138804,GBp
2017-05-19,1906.0,1906.0,86855,GBp
2017-05-22,1931.0,1931.0,246634,GBp
2017-05-23,1927.0,1927.0,290965,GBp
2017-05-24,1946.0,1946.0,451832,GBp
2017-05-25,2204.0,2204.0,1622818,GBp
2017-05-26,2285.0,2285.0,973951,GBp
2017-05-30,2343.0,2343.0,763786,GBp
2017-05-31,2279.0,2279.0,623068,GBp
2017-06-01,2280.0,2280.0,193068,GBp
2017-06-02,2279.0,2279.0,399027,GBp
2017-06-05,2307.0,2307.0,233470,GBp
2017-06-06,2320.0,2320.0,328989,GBp
2017-06-07,2300.0,2300.0,197040,GBp
2017-06-08,2329.0,2329.0,273981,GBp
2017-06-09,2355.0,2355.0,358048,GBp
2017-06-12,2365.0,2365.0,446754,GBp
2017-06-13,2416.0,2416.0,369374,GBp
2017-06-14,2425.0,2425.0,195253,GBp
2017-06-15,2277.0,2277.0,2602765,GBp
2017-06-16,2297.0,2297.0,1100633,GBp
2017-06-19,2317.0,2317.0,66185,GBp
2017-06-20,2311.0,2311.0,63964,GBp
2017-06-21,2300.0,2300.0,144665,GBp
2017-06-22,2300.0,2300.0,100619,GBp
2017-06-23,2320.0,2320.0,8491,GBp
2017-06-26,2335.235107421875,2335.235107421875,12129,GBp
2017-06-27,2326.199951171875,2326.199951171875,21068,GBp
